,Year 5,Year 4,Year 3,Year 2,Year 1
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,0.93913043,-0.76386037,-0.48736842,1.96875,-0.30585683
market cap based on Jun's data,236.5939,122.8954,559.7782,1060.7282,355.0886
90-days stock vol,0.51011,1.26237,0.78424,0.54823,0.4984
Trading volume,566.8492059,344.9486778,3468.32596,4155.147582,1068.802954
Total asset,546.687,643.895,803.601,857.433,633.032
Diluted EPS,0.3,-3.21,-2.94,0.3,-0.09
Liability / assets,0.42673413,0.60096134,0.5069257,0.38521727,0.2122057
equity / assets,0.57326587,0.39903866,0.4930743,0.61478273,0.7877943
Cash / asset,0.2153115,0.3092849,0.23624784,0.27751323,0.18560831
Current ratio,1.01099989,0.85511704,1.79890312,2.68925761,1.66606928
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,-1.81312611,0.44273309,0.66305071,-1.83293445,-6.10838131
A/P / Sales,0.2024972,0.05695113,0.07361554,0.07806427,0.05112834
A/R / Sales,0.18394155,0.17804777,0.22573954,0.28894733,0.19393239
ROE,0.03784657,-0.44447126,-0.26507754,0.02056399,-0.00704633
ROA,0.02169614,-0.17736122,-0.13070292,0.01264239,-0.00555106
Sales/total assets,0.58555993,0.63530545,0.4829648,0.36099264,0.38682721
Net income margin,0.03705196,-0.27917471,-0.27062619,0.03502118,-0.01435024
EBIT/Sale,-0.01673133,-0.04246217,-0.01894819,0.01811797,-0.00884537
EBITDA/Sale,0.09105392,0.06221674,0.073631,0.09044445,0.0610028
EBITDA/ Assets,0.05331753,0.03952663,0.03556118,0.03264978,0.02359754
Total debt/ EBITDA,2.22516125,8.26745511,7.30647024,6.66676192,1.75719641
WC/ Asset,0.00390168,-0.07790867,0.1899699,0.28092924,0.11918355
Price to book ratio,0.75493352,0.47830575,1.41274294,2.01225151,0.7120299
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,0.83579336,-0.59702602,-0.26902174,0.24576845,0.08205128
market cap based on Jun's data,145.2541,79.0653,196.1978,265.0465,220.5693
90-days stock vol,0.55133,1.21569,0.73371,0.24167,0.17903
Trading volume,46.29246455,19.01700224,182.4455109,81.19552,50.600543
Total asset,269.079,215.123,229.629,239.559,239.119
Diluted EPS,0.57,-0.23,0.06,0.66,0.23
Liability / assets,0.27518684,0.13517848,0.16328077,0.15649589,0.11954299
equity / assets,0.72481316,0.86482152,0.83671923,0.84350411,0.88045701
Cash / asset,0.00761486,0.00846957,0.05184014,0.11651409,0.12548982
Current ratio,1.84302799,2.5302762,2.57203437,2.87610595,4.02353593
Inventory / sales,0.21794868,0.2168595,0.24737506,0.22693454,0.20496168
Net debt/EBITDA,0.96667681,-0.45436409,-1.17419609,-2.3975262,-2.13755521
A/P / Sales,0.15186757,0.09895868,0.09586411,0.07709707,0.05526608
A/R / Sales,0.00846786,0.00656612,0.0091522,0.00613846,0.01126292
ROE,0.04259814,-0.0183936,0.00420017,0.04725119,0.0163204
ROA,0.03087569,-0.01590718,0.00351436,0.03985657,0.01436941
Sales/total assets,1.40222388,1.12493783,1.163394,1.17373173,1.17259189
Net income margin,0.02201909,-0.0141405,0.00302079,0.03395714,0.0122544
EBIT/Sale,-0.01283298,-0.0165,0.00927947,0.01222357,0.01860629
EBITDA/Sale,0.01741808,0.01657025,0.03794886,0.04140438,0.05006616
EBITDA/ Assets,0.02442405,0.0186405,0.04414948,0.04859763,0.05870717
Total debt/ EBITDA,1.27845405,0,0,0,0
WC/ Asset,0.19621747,0.20088508,0.24861842,0.28147972,0.34222291
Price to book ratio,0.7447706,0.42498401,1.02114555,1.31166334,1.04766594
real GDP growth,0.02563768,-0.02536759,-0.0013658,0.01876176,0.02854972
Inflation,0.01640043,-0.00355546,0.038391,0.02852673,0.03225944
Unemployment,0.09616667,0.09266666,0.05775,0.04616667,0.04616667
10-year risk free,0.03214167,0.03256667,0.03666667,0.04629167,0.04791667
YoY % in stock price,0.30434783,-0.68654174,0.36511628,-0.07027027,-0.02836134
market cap based on Jun's data,52.4918,43.9315,140.1099,101.3562,108.8892
90-days stock vol,0.75874,0.65043,0.53115,0.48412,0.36286
Trading volume,13.421952,6.61413392,35.08965078,9.2168436,9.2802105
Total asset,118.5175,123.3326,121.631,118.2037,119.2299
Diluted EPS,0.22,-0.27,-0.02,0,0.67
Liability / assets,0.98937963,1.01493279,0.98838372,0.99202478,0.9934404
equity / assets,0.01062037,-0.01493279,0.01161546,0.00797522,0.0065596
Cash / asset,0.09270698,0.05851089,0.01588822,0.05845756,0.09552386
Current ratio,1.8902492,1.61570105,1.37632086,2.15185751,2.20158577
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,5.05921513,7.80399323,5.33552099,9.0028259,3.95194181
A/P / Sales,0.02701684,0.03953553,0.05956636,0.04938599,0.05848745
A/R / Sales,0.11211186,0.12642515,0.13598036,0.14581601,0.14343851
ROE,2.07031064,1.75853831,-0.17737826,-0.01920017,10.01713336
ROA,0.02198747,-0.02625989,-0.00206033,-0.00015313,0.06570835
Sales/total assets,0.96443816,1.0786256,0.9549605,0.93271107,0.8878528
Net income margin,0.02279822,-0.02434569,-0.0021575,-0.00016417,0.07400816
EBIT/Sale,0.11166656,0.05406462,0.12279687,0.04304222,0.17720714
EBITDA/Sale,0.16610879,0.10037307,0.17132174,0.09853796,0.22597125
EBITDA/ Assets,0.16020166,0.10826497,0.1636055,0.09190744,0.2006292
Total debt/ EBITDA,5.63790443,8.34443479,5.43263399,9.63887406,4.42806321
WC/ Asset,0.10540722,0.08094454,0.04368541,0.13403811,0.12939204
Price to book ratio,41.70318583,-23.8537764,99.17178652,107.5169195,139.2266974
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,-0.35277778,-0.40809918,-0.30519931,-0.0499461,-0.07283973
market cap based on Jun's data,404.54,620.7192,804.7082,1139.7548,1432.6405
90-days stock vol,0.49162,1.30554,0.36809,0.24653,0.3347
Trading volume,1339.847785,1617.633169,3590.51507,3315.208426,7962.56546
Total asset,1445.257,1577.225,835.035,843.69,1149.126
Diluted EPS,-0.22,0.76,1.0896,3.7164,4.2612
Liability / assets,0.74751273,0.71101206,0.72617076,0.09455724,0.15055007
equity / assets,0.25248727,0.28898794,0.27382924,0.90544276,0.84944993
Cash / asset,0.0364302,0.06603116,0.05332232,0.12736906,0.08439109
Current ratio,1.93130939,1.60312019,2.32364374,5.07846171,14.32334529
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,7.8610503,6.36542784,4.23935425,-0.38079459,0.1268015
A/P / Sales,0.09511298,0.16917943,0.09560614,0.05735864,0.05786572
A/R / Sales,0.02608125,0.03230308,0.04141717,0.04076274,0.08325571
ROE,-0.03287121,0.06539505,0.1947852,0.20529956,0.21755103
ROA,-0.00829956,0.01889838,0.05333788,0.185887,0.18479871
Sales/total assets,0.24253126,0.20673525,0.30539438,0.38637888,0.49420255
Net income margin,-0.03422059,0.09141345,0.17465247,0.4811003,0.37393313
EBIT/Sale,0.07070923,0.21402284,0.28289316,0.33283842,0.3569425
EBITDA/Sale,0.35056202,0.42704283,0.4814305,0.46289082,0.52831039
EBITDA/ Assets,0.08502225,0.0882848,0.14702617,0.17885124,0.26109234
Total debt/ EBITDA,8.28952872,7.11336134,4.60202652,0.33135624,0.45002466
WC/ Asset,0.03621086,0.0338005,0.05627549,0.13123067,0.381523
Price to book ratio,1.10860516,1.36182659,3.51928084,1.49199555,1.46768139
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,0.14691943,-0.37014925,-0.78484265,-0.38312203,-0.40583804
market cap based on Jun's data,107.0159,92.8013,146.049,753.506,1153.1916
90-days stock vol,0.75909,1.81201,1.02144,0.48215,0.22665
Trading volume,204.9079388,321.1763403,581.4361539,1457.78427,1242.469288
Total asset,1440.116,1515.612,2016.367,3260.963,3329.809
Diluted EPS,1.03,-2.77,-19.64,1.77,1.56
Liability / assets,0.96034556,0.98426378,0.88704338,0.66459816,0.70061376
equity / assets,0.03965444,0.01573622,0.11295662,0.33540184,0.29938624
Cash / asset,0.01348641,0.00521571,0.01163429,0,0.00259414
Current ratio,0.6474086,0.58779295,0.10219748,0.59219978,0.92057327
Inventory / sales,0.01386284,0.0164531,0.01842024,0.0127219,0.01707441
Net debt/EBITDA,4.82370639,-12.38831846,6.34802581,5.20746627,5.502563
A/P / Sales,0.08932067,0.08803962,0.05231672,0.03524836,0.0337829
A/R / Sales,0.0993508,0.09468903,0.09756354,0.10665742,0.10220458
ROE,0.80734411,-7.55748428,-3.82626601,0.07405738,0.07105233
ROA,0.03201478,-0.11892622,-0.43220207,0.02483898,0.02127209
Sales/total assets,0.542073,0.55557095,0.5102583,0.34351632,0.33895277
Net income margin,0.05905991,-0.21406126,-0.84702605,0.07230801,0.06275827
EBIT/Sale,0.18855105,-0.20591665,0.11269084,0.15876714,0.16239784
EBITDA/Sale,0.2822924,-0.11138439,0.20121337,0.24152067,0.24751738
EBITDA/ Assets,0.15302309,-0.06188193,0.10267079,0.08296629,0.0838967
Total debt/ EBITDA,4.91183958,-12.4726034,6.46134227,5.20746627,5.53348368
WC/ Asset,-0.04599282,-0.05464855,-0.66998964,-0.0314585,-0.00477835
Price to book ratio,1.87395416,3.89103983,0.64123515,0.68893048,1.15677877
real GDP growth,0.02563768,-0.02536759,-0.0013658,0.01876176,0.02854972
Inflation,0.01640043,-0.00355546,0.038391,0.02852673,0.03225944
Unemployment,0.09616667,0.09266666,0.05775,0.04616667,0.04616667
10-year risk free,0.03214167,0.03256667,0.03666667,0.04629167,0.04791667
YoY % in stock price,-0.52328767,-0.80108992,-0.03319283,0.67298369,0.99560246
market cap based on Jun's data,109.4918,222.6456,1047.8437,1083.8187,574.2181
90-days stock vol,0.81953,0.45071,0.34299,0.57337,0.30489
Trading volume,297.0410707,1876.302922,9416.645682,9053.258945,2554.301587
Total asset,263.312,309.315,283.879,207.19,134.991
Diluted EPS,-1.12,0.17,0.52,0.48,-0.32
Liability / assets,0.26732545,0.23295669,0.28896466,0.25837637,0.19009415
equity / assets,0.73267455,0.76704331,0.71103534,0.74162363,0.80990585
Cash / asset,0.71374263,0.77590805,0.70208082,0.73680197,0.68266033
Current ratio,4.38973505,5.30959128,2.97666346,3.41304473,4.71145364
Inventory / sales,0.09012553,0.0336515,0.0600565,0.08539914,0.03963136
Net debt/EBITDA,3.85788771,-8.02702432,-4.15307356,-4.35009831,4.08642632
A/P / Sales,0.64216417,0.04221557,0.07637881,0.11357777,0.09676718
A/R / Sales,0.12374441,0.01748482,0.03383002,0.02495305,0.09153613
ROE,-0.3640435,0.04278886,0.14921129,0.17035345,-0.27608159
ROA,-0.26672541,0.03282091,0.1060945,0.12633814,-0.22360009
Sales/total assets,0.28772331,0.83390072,0.95390994,0.82746272,0.51122667
Net income margin,-0.9270205,0.0393583,0.11122067,0.15268137,-0.43737955
EBIT/Sale,-0.82158366,0.07296327,0.14824498,0.16561869,-0.3581458
EBITDA/Sale,-0.64300894,0.11591545,0.17721893,0.20469313,-0.32677399
EBITDA/ Assets,-0.18500866,0.09666198,0.1690509,0.16937594,-0.16705558
Total debt/ EBITDA,0,0,0,0,0
WC/ Asset,0.62630643,0.69813944,0.55766365,0.6047927,0.60467735
Price to book ratio,0.5675444,0.93841135,5.19125134,7.05349382,5.25215494
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,-0.11328671,0.26885537,2.5,-0.41025641,-0.54117647
market cap based on Jun's data,767.935,807.0369,446.4498,95.911,135.5077
90-days stock vol,0.56169,1.01464,1.34057,1.49982,1.52242
Trading volume,840.0577665,583.2149824,73.28919882,2.37789111,3.30224622
Total asset,174.407,141.731,31.301,7.168,10.449
Diluted EPS,-0.44,-0.51,-0.84,-0.77,0.49
Liability / assets,0.32342739,0.24919037,0.95048082,4.97949219,6.53048139
equity / assets,0.67657261,0.75080963,0.04951918,-3.97949219,-5.53048139
Cash / asset,0.08207239,0.07922755,0.7931376,0.0405971,0.22069098
Current ratio,0.90814109,1.16234808,1.79758732,0.04789963,0.04550524
Inventory / sales,0.29928161,1.48977804,0,0,0
Net debt/EBITDA,-0.45352902,-0.18689039,0.43955937,-1.24876628,-0.23552514
A/P / Sales,0.41945402,1.87280958,13.56785714,59.37,49.48333333
A/R / Sales,0.18247126,1.02307243,0.36428571,1.52,0
ROE,-0.43224095,-0.49298488,-33.36129032,1.44802805,-0.49498166
ROA,-0.29244239,-0.3701378,-1.6520239,-5.76241629,2.73748684
Sales/total assets,0.19953328,0.04831688,0.0089454,0.01395089,0.00574218
Net income margin,-1.46563218,-7.66063084,-184.6785714,-413.05,476.7333333
EBIT/Sale,-1.42057471,-4.95108061,-75.16428571,-172.1,-552.4833333
EBITDA/Sale,-1.20022989,-4.65610397,-73.27142857,-168.19,-543.1833333
EBITDA/ Assets,-0.2394858,-0.22496843,-0.65544232,-2.34640067,-3.11905445
Total debt/ EBITDA,-0.79623156,-0.53906225,-0.77052057,-1.26606814,-0.30628088
WC/ Asset,-0.02132369,0.03213835,0.36331108,-1.91615513,-5.32366734
Price to book ratio,6.50797888,7.58400665,288.032129,-3.36234882,-2.34491071
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,-0.2671984,-0.69661222,2.7826087,0.31626506,0.05457579
market cap based on Jun's data,219.7937,299.8468,917.5968,242.3121,183.8948
90-days stock vol,0.37841,1.65261,1.05472,0.3639,0.5069
Trading volume,1087.084037,2412.231911,4698.848777,126.2352723,98.1592528
Total asset,953.588,1041.685,559.1133,403.0909,344.6706
Diluted EPS,-2.25,6.55,3.51,1.4,2.28
Liability / assets,0.43610029,0.42564595,0.42844769,0.44527649,0.46555697
equity / assets,0.56389971,0.57435405,0.57155231,0.55472351,0.53444303
Cash / asset,0.05352416,0.12590178,0.05454762,0.02978658,0.0787932
Current ratio,0.29579953,2.02438426,1.02217929,0.9320769,0.9866404
Inventory / sales,0.04971638,0.01974877,0.03151669,0.02861557,0.03078403
Net debt/EBITDA,6.53647013,0.89096529,1.08092979,1.69214974,1.23267699
A/P / Sales,0.17207024,0.06801791,0.03321735,0.02385466,0.01905647
A/R / Sales,0.11439064,0.07485862,0.08523437,0.100148,0.10300357
ROE,-0.1246727,0.32053866,0.30744846,0.17468292,0.30213923
ROA,-0.0703029,0.18410268,0.17572288,0.09690072,0.1614762
Sales/total assets,0.31723973,0.58715735,0.63121553,0.62910301,0.71961809
Net income margin,-0.22160811,0.31354914,0.27838808,0.15402998,0.22439153
EBIT/Sale,-0.16508879,0.3421578,0.29026326,0.19718541,0.2590412
EBITDA/Sale,0.15182007,0.46229356,0.39233143,0.31496256,0.33780992
EBITDA/ Assets,0.04816336,0.27143906,0.24764569,0.19814389,0.24309413
Total debt/ EBITDA,7.64777478,1.35479604,1.30119455,1.84247778,1.55680329
WC/ Asset,-0.29973427,0.1001368,0.00311869,-0.00946759,-0.00251283
Price to book ratio,0.40874513,0.50116798,2.87141576,1.08366621,0.99830625
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,-0.71024735,-0.807849,1.38935756,-0.15399396,0.62779267
market cap based on Jun's data,187.6283,647.2691,3317.4819,1220.4782,1422.4531
90-days stock vol,0.60459,1.07022,0.89349,0.4266,0.62244
Trading volume,2597.480466,9256.381532,33638.79154,9435.783334,12716.27365
Total asset,691.947,1076.097,1041.9671,600.6786,596.3423
Diluted EPS,-10.75,0.2,0.1,-0.64,-0.57
Liability / assets,0.56409234,0.31479318,0.38394254,0.12514463,0.09947559
equity / assets,0.43590766,0.68520682,0.61605746,0.87485537,0.90052458
Cash / asset,0.27882049,0.28023589,0.47936322,0.34256905,0.67824637
Current ratio,4.5760383,7.54439248,11.36530877,6.63450987,17.29120426
Inventory / sales,0.24171043,0.23480128,0.12247588,0.34069962,0.21018263
Net debt/EBITDA,-0.20662884,-0.48445601,-5.51085504,7.27053177,19.30397991
A/P / Sales,0.22024951,0.15883374,0.15249139,0.30173581,0.20707092
A/R / Sales,0.28308361,0.2193599,0.2091964,0.32137533,0.27226358
ROE,-1.51533195,0.01159153,0.00600316,-0.0480125,-0.03462863
ROA,-0.66054481,0.00794259,0.00369829,-0.04200399,-0.03118394
Sales/total assets,0.36768134,0.29392611,0.24555574,0.18906433,0.17174616
Net income margin,-1.79651437,0.02702241,0.01506091,-0.22216773,-0.18156992
EBIT/Sale,-1.71019511,0.06511684,0.02521721,-0.32402575,-0.26577654
EBITDA/Sale,-1.58163402,0.17136326,0.11087778,-0.21686689,-0.19130537
EBITDA/ Assets,-0.58153731,0.05036814,0.02722668,-0.04100179,-0.03285596
Total debt/ EBITDA,-0.68608301,5.07929743,12.0955258,-1.08444551,-1.33904274
WC/ Asset,0.399441,0.36283439,0.51830658,0.40278378,0.71954044
Price to book ratio,0.62205818,0.87783275,5.16812891,2.32247797,2.64878536
real GDP growth,0.02563768,-0.02536759,-0.0013658,0.01876176,0.02854972
Inflation,0.01640043,-0.00355546,0.038391,0.02852673,0.03225944
Unemployment,0.09616667,0.09266666,0.05775,0.04616667,0.04616667
10-year risk free,0.03214167,0.03256667,0.03666667,0.04629167,0.04791667
YoY % in stock price,-0.19473684,-0.88035264,0.32333333,0.05820106,0.11176471
market cap based on Jun's data,34.8611,43.3615,367.1694,196.0986,152.1386
90-days stock vol,0.71665,1.67302,0.66401,0.39624,0.61605
Trading volume,66.34399847,113.7874917,456.2132567,145.636506,324.722601
Total asset,259.388,264.028,277.734,201.4692,146.9487
Diluted EPS,-0.29,0.17,-0.6,-0.13,-0.08
Liability / assets,0.37320539,0.34149408,0.53575724,0.42195978,0.72346676
equity / assets,0.62679461,0.65850592,0.46424276,0.57804022,0.27653324
Cash / asset,0.00115657,0.00148469,0.0025096,0.01051823,0.00438725
Current ratio,0.08899447,1.44654159,1.44943914,0.69267516,1.4849123
Inventory / sales,0.03755088,0.03456664,0.01852814,0.01031284,0
Net debt/EBITDA,-5.46152576,-1.01200322,14.66028997,13.96755241,71.33685975
A/P / Sales,0.28031861,0.30081509,0.27399711,0.31228794,0.23348423
A/R / Sales,0.10551884,0.12298895,0.11301587,0.14395302,0.22468255
ROE,-0.07097298,-0.00132862,-0.13588912,-0.0067836,-0.0453881
ROA,-0.04448548,-0.00087491,-0.06308554,-0.00392119,-0.01255132
Sales/total assets,0.08808812,0.08875195,0.12475966,0.14073119,0.1079329
Net income margin,-0.50501116,-0.00985789,-0.50565657,-0.02786301,-0.11628816
EBIT/Sale,-0.74913563,-2.57700679,-0.00124098,-0.07262018,-0.06329521
EBITDA/Sale,-0.53008884,-2.33226646,0.1433189,0.07924029,0.06019318
EBITDA/ Assets,-0.04669453,-0.2069932,0.01788042,0.01115158,0.00649683
Total debt/ EBITDA,-5.48629458,-1.01917588,14.80064438,14.910758,72.01215041
WC/ Asset,-0.25798032,0.01496432,0.03880692,-0.01676435,0.01472963
Price to book ratio,0.21442033,0.24939896,2.84768722,1.68386696,3.74391798
real GDP growth,0.02563768,-0.02536759,-0.0013658,0.01876176,0.02854972
Inflation,0.01640043,-0.00355546,0.038391,0.02852673,0.03225944
Unemployment,0.09616667,0.09266666,0.05775,0.04616667,0.04616667
10-year risk free,0.03214167,0.03256667,0.03666667,0.04629167,0.04791667
YoY % in stock price,0.21568627,-0.93135935,-0.50598404,0.83414634,5.07407407
market cap based on Jun's data,6.5094,5.5093,82.025,165.3122,87.3718
90-days stock vol,1.66451,1.53268,0.52882,0.52257,0.62399
Trading volume,1.1550259,2.50854975,47.12354905,143.3772224,47.165949
Total asset,11.578,17.154,25.939,24.043,13.031
Diluted EPS,-2,-2.65,3.2,5.3,3.2
Liability / assets,0.12886509,0.11093622,0.16943598,0.22376575,0.34816975
equity / assets,0.87113491,0.88906378,0.83056402,0.77623425,0.65183025
Cash / asset,0.432199,0.48670864,0.46223833,0.35286778,0.26713222
Current ratio,6.9238653,8.76660788,5.64830407,4.18116354,2.92071311
Inventory / sales,0.03956872,0.01815214,0.00485063,0.00591815,0.00708281
Net debt/EBITDA,0.69725693,1.03817458,-1.09119039,-0.55552645,-0.40604223
A/P / Sales,0.04836177,0.02272999,0.02688432,0.02708565,0.02946914
A/R / Sales,0.08887261,0.0570041,0.16980794,0.20710179,0.19464958
ROE,-0.423954,-0.38128647,0.32705162,0.61651396,0.79149988
ROA,-0.36932113,-0.33898799,0.2716373,0.47855925,0.51592357
Sales/total assets,0.82509933,1.46443978,2.15386098,2.47381774,3.30458138
Net income margin,-0.44760808,-0.23147964,0.12611645,0.19344968,0.15612373
EBIT/Sale,-0.76625144,-0.34079057,0.18844082,0.25063049,0.19202545
EBITDA/Sale,-0.72888098,-0.32013057,0.19667436,0.25676721,0.19908504
EBITDA/ Assets,-0.60139921,-0.46881194,0.42360924,0.63519528,0.65789272
Total debt/ EBITDA,-0.02139882,0,0,0,0
WC/ Asset,0.69891173,0.77014107,0.74494005,0.69820738,0.62834779
Price to book ratio,0.64538965,0.36124189,3.80732455,8.85775063,10.28629621
real GDP growth,-0.02536759,-0.0013658,0.01876176,0.02854972,0.03513208
Inflation,-0.00355546,0.038391,0.02852673,0.03225944,0.03392747
Unemployment,0.09266666,0.05775,0.04616667,0.04616667,0.05066667
10-year risk free,0.03256667,0.03666667,0.04629167,0.04791667,0.0429
YoY % in stock price,0.14825581,3.04705882,-0.88852459,-0.09495549,1.52623688
market cap based on Jun's data,146.7228,126.195,30.71,311.7756,372.0581
90-days stock vol,0.45663,0.43743,0.86265,0.36638,0.83791
Trading volume,195.1553748,166.4975893,122.9817145,1206.738539,1081.536847
Total asset,1498.798,1289.42,1127.702,708.588,301.273
Diluted EPS,0.7,2.33,-0.62,1.66,3.55
Liability / assets,0.92027411,0.92071086,0.95057737,0.91839828,0.67796318
equity / assets,0.07972589,0.07928914,0.04942263,0.08160172,0.32203682
Cash / asset,0.06677618,0.07101953,0.06160227,0.30149396,0.24364945
Current ratio,0.82785581,1.14275762,0.97508294,1.21137029,2.67312172
Inventory / sales,0.03349932,0.02302994,0.01978064,0.02035881,0.00977538
Net debt/EBITDA,5.82211507,4.05762948,7.4761731,1.06425859,0.53043052
A/P / Sales,0.14112819,0.10043193,0.03518909,0.04199021,0.0220719
A/R / Sales,0.03859941,0.04082516,0.03656285,0.03950727,0.12238926
ROE,0.10686818,0.40940168,-0.19731223,0.59902805,0.80187794
ROA,0.00852016,0.03246111,-0.00975169,0.04888172,0.25823423
Sales/total assets,0.68105709,0.65572738,0.76685596,1.11118732,2.73712878
Net income margin,0.0125102,0.04950397,-0.01271646,0.04399053,0.09434493
EBIT/Sale,0.06028114,0.09545622,0.06840429,0.06482307,0.10183684
EBITDA/Sale,0.10442834,0.14409089,0.10458553,0.078584,0.10881215
EBITDA/ Assets,0.07112166,0.09448434,0.08020204,0.08732155,0.29783286
Total debt/ EBITDA,6.76101579,4.80928343,8.24426164,4.51694545,1.34850494
WC/ Asset,-0.02829334,0.01970576,-0.00406934,0.0726233,0.41009317
Price to book ratio,1.22787778,1.23433786,0.55101016,5.39198921,3.8348203
real GDP growth,0.02563768,-0.02536759,-0.0013658,0.01876176,0.02854972
Inflation,0.01640043,-0.00355546,0.038391,0.02852673,0.03225944
Unemployment,0.09616667,0.09266666,0.05775,0.04616667,0.04616667
10-year risk free,0.03214167,0.03256667,0.03666667,0.04629167,0.04791667
YoY % in stock price,-0.35897436,1.97916667,-0.94310549,-0.01975213,0.18386061
market cap based on Jun's data,63.0963,96.8678,31.8443,553.4133,563.1187
90-days stock vol,0.96367,0.90946,2.7666,0.26005,0.20745
Trading volume,93.940858,289.3011865,80.6006304,1169.088237,763.120428
Total asset,470.925,455.665,454.559,607.56,610.272
Diluted EPS,-1.8,0.19,-5.47,0.47,0.68
Liability / assets,1.06326485,0.98069634,0.99808166,0.76959971,0.72528971
equity / assets,-0.06326485,0.01930366,0.00191834,0.23040029,0.27471029
Cash / asset,0.08955354,0.09798646,0.0873022,0.02828198,0.06461709
Current ratio,2.07193169,3.22491439,2.22898103,1.38818441,1.94462862
Inventory / sales,0.03978063,0.03540155,0.03742203,0.03158643,0.03419913
Net debt/EBITDA,11.49815644,5.53959104,5.24835809,4.52633756,3.97961654
A/P / Sales,0.12511135,0.08694622,0.05802039,0.04828662,0.04206598
A/R / Sales,0.06793996,0.08417032,0.08466192,0.08042756,0.07679654
ROE,1.35901051,0.48135516,-138.108945,0.07388807,0.08745109
ROA,-0.0859776,0.00929191,-0.2649403,0.01702383,0.02402371
Sales/total assets,0.6698625,0.68543996,0.72443401,0.55803213,0.54885363
Net income margin,-0.12835111,0.01355613,-0.36572041,0.0305069,0.04377071
EBIT/Sale,0.00202565,0.10879163,0.11944196,0.15586748,0.16834154
EBITDA/Sale,0.11262779,0.19995133,0.20298635,0.23528926,0.24416182
EBITDA/ Assets,0.07544513,0.13705463,0.14705022,0.13129897,0.1340091
Total debt/ EBITDA,12.6851586,6.25453556,5.84204778,4.74173896,4.46180089
WC/ Asset,0.08983808,0.1326018,0.10316153,0.02806472,0.0644352
Price to book ratio,-2.11782298,11.01271032,36.51869266,3.95346044,3.35893479
real GDP growth,0.02563768,-0.02536759,-0.0013658,0.01876176,0.02854972
Inflation,0.01640043,-0.00355546,0.038391,0.02852673,0.03225944
Unemployment,0.09616667,0.09266666,0.05775,0.04616667,0.04616667
10-year risk free,0.03214167,0.03256667,0.03666667,0.04629167,0.04791667
YoY % in stock price,-0.37900552,-0.095,-0.71988796,-0.01381215,0.49586777
market cap based on Jun's data,680.3526,1087.4284,1685.8098,5999.6112,3606.1621
90-days stock vol,0.35338,0.51845,1.63967,0.37767,0.28689
Trading volume,8064.784823,5515.566917,4666.67199,11851.21912,7461.9422
Total asset,10013,10953,14213,13221,7537
Diluted EPS,-1.95,-7.6,1,1.75,-3.75
Liability / assets,0.72575652,0.72801972,0.68444382,0.65743892,0.6992172
equity / assets,0.27424348,0.27198028,0.31555618,0.34256108,0.3007828
Cash / asset,0.03964846,0.04382361,0.05051713,0.02480902,0.04922383
Current ratio,1.43386581,1.10341094,1.64688602,1.66466466,1.70437018
Inventory / sales,0.05208782,0.05713128,0.05535499,0.06413149,0.10960452
